database,rank,term,p_value,z_score,combined_score,overlap_genes,n_overlap,adj_p_value,gene_list,n_genes_submitted
KEGG_2021_Human,1,Proteoglycans in cancer,0.00015693240089955412,10.972222222222221,96.1133246688316,IGF2;FLNA;HSPG2;EIF4B;DCN,5,0.014594713283658533,top50,50
Reactome_2022,1,Amyloid Fiber Formation R-HSA-977225,4.33192372416157e-08,37.13013698630137,629.529183362933,APP;GSN;APOA1;TGFBI;HSPG2;ITM2B,6,1.4425306001458029e-05,top50,50
Reactome_2022,2,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,6.094647345778435e-07,23.115384615384617,330.7969820894124,APP;IGFBP4;IGF2;APOA1;MSLN;PRSS23,6,0.00010147587830721094,top50,50
Reactome_2022,3,Metabolism Of Proteins R-HSA-392499,1.6796001125505657e-06,4.971913475383844,66.11130885672671,APP;GSN;IGFBP4;RPLP0;IGF2;APOA1;MSLN;HSPG2;PRSS23;RPL27A;ANPEP;RPLP2;TGFBI;PABPC1;HNRNPC;EIF4B;ITM2B,17,0.0001864356124931128,top50,50
Reactome_2022,4,Post-translational Protein Phosphorylation R-HSA-8957275,6.6648558636472086e-06,21.836083608360838,260.25690496341264,APP;IGFBP4;APOA1;MSLN;PRSS23,5,0.00044655849608119566,top50,50
Reactome_2022,5,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,7.303530312980346e-06,21.40992448759439,253.21844668535684,RPL27A;RPLP0;RPLP2;PABPC1;EIF4B,5,0.00044655849608119566,top50,50
Reactome_2022,6,NLRP3 Inflammasome R-HSA-844456,8.046099028490012e-06,97.89034369885434,1148.2853674678522,APP;HSP90AB1;TXNIP,3,0.00044655849608119566,top50,50
Reactome_2022,7,Cap-dependent Translation Initiation R-HSA-72737,1.035242363897835e-05,19.85885885885886,227.94573901847133,RPL27A;RPLP0;RPLP2;PABPC1;EIF4B,5,0.0004825269554863375,top50,50
Reactome_2022,8,Cellular Responses To Stimuli R-HSA-8953897,1.1592239170842943e-05,6.619834710743802,75.23557811011119,PRDX2;HSP90AB1;RPL27A;LMNA;RPLP0;APOA1;MT1G;TXNIP;RPLP2;ATP6V1B1,10,0.0004825269554863375,top50,50
Reactome_2022,9,Platelet Degranulation R-HSA-114608,1.4884754838316752e-05,18.36111111111111,204.0869270968184,APP;IGF2;APOA1;FLNA;MAGED2,5,0.0005256410254920351,top50,50
Reactome_2022,10,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,1.799731603382954e-05,17.622222222222224,192.52785157536061,APP;IGF2;APOA1;FLNA;MAGED2,5,0.0005256410254920351,top50,50
Reactome_2022,11,Inflammasomes R-HSA-622312,1.8942018936649912e-05,70.68085106382979,768.592613095972,APP;HSP90AB1;TXNIP,3,0.0005256410254920351,top50,50
Reactome_2022,12,Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,1.8942018936649912e-05,70.68085106382979,768.592613095972,APP;PRDX2;LMNA,3,0.0005256410254920351,top50,50
Reactome_2022,13,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,2.867422295491e-05,60.57446808510638,633.5793754459056,APP;PRDX2;LMNA,3,0.00073450124953731,top50,50
Reactome_2022,14,Cellular Responses To Stress R-HSA-2262752,6.580039922630074e-05,5.922519070913009,57.02725298535634,PRDX2;HSP90AB1;RPL27A;LMNA;RPLP0;APOA1;TXNIP;RPLP2;ATP6V1B1,9,0.0015651094958827247,top50,50
Reactome_2022,15,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,8.212184135698631e-05,19.626482213438734,184.6323345485555,RPL27A;RPLP0;RPLP2;PABPC1,4,0.0018231048781250962,top50,50
Reactome_2022,16,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,0.00015848493118390697,16.434782608695652,143.80189971009636,RPL27A;RPLP0;RPLP2;EIF4B,4,0.003104440122602413,top50,50
Reactome_2022,17,Degradation Of Extracellular Matrix R-HSA-1474228,0.00015848493118390697,16.434782608695652,143.80189971009636,COL12A1;TIMP2;HSPG2;DCN,4,0.003104440122602413,top50,50
Reactome_2022,18,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.00017596171244768462,15.97584541062802,138.1150837500777,RPL27A;RPLP0;RPLP2;PABPC1,4,0.0032552916802821657,top50,50
Reactome_2022,19,"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",0.000315376219123607,25.404255319148938,204.80261014345277,APP;HSP90AB1;TXNIP,3,0.0055273832088505856,top50,50
Reactome_2022,20,"Platelet Activation, Signaling And Aggregation R-HSA-76002",0.0004221196427155947,8.791164658634537,68.3092990191575,APP;IGF2;APOA1;FLNA;MAGED2,5,0.007028292051214652,top50,50
Reactome_2022,21,Cellular Response To Starvation R-HSA-9711097,0.0005767994256447113,11.55587977823169,86.18393590751629,RPL27A;RPLP0;RPLP2;ATP6V1B1,4,0.009146390892366137,top50,50
Reactome_2022,22,Translation R-HSA-72766,0.0006676277835550033,7.920289855072464,57.91141497624296,RPL27A;RPLP0;RPLP2;PABPC1;EIF4B,5,0.010105456905628004,top50,50
Reactome_2022,23,Diseases Of Programmed Cell Death R-HSA-9645723,0.0007455208566439991,18.66270337922403,134.39810435842293,APP;PRDX2;LMNA,3,0.01079384544619355,top50,50
Reactome_2022,24,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,0.0008006490870355484,10.555881568418245,75.26436239424339,RPL27A;RPLP0;RPLP2;PABPC1,4,0.011109006082618235,top50,50
Reactome_2022,25,Disease R-HSA-1643685,0.000947286508856257,3.3385028697032606,23.242353064489976,APP;PRDX2;HSP90AB1;RPL27A;LMNA;RPLP0;LRIG1;APOA1;TXNIP;RPLP2;HSPG2;DCN,12,0.012617856297965344,top50,50
Reactome_2022,26,Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332,0.0011307590059983252,46.138888888888886,313.0461870363529,HSPG2;DCN,2,0.013447955321337223,top50,50
Reactome_2022,27,Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,0.0011307590059983252,46.138888888888886,313.0461870363529,HSPG2;DCN,2,0.013447955321337223,top50,50
Reactome_2022,28,"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783",0.0011307590059983252,46.138888888888886,313.0461870363529,HSPG2;DCN,2,0.013447955321337223,top50,50
Reactome_2022,29,Metabolism Of RNA R-HSA-8953854,0.0012652756176183336,4.765395066520803,31.796933226891714,RPL27A;RPLP0;IGF2;RPLP2;PABPC1;HNRNPC;EIF4B,7,0.014257189451931837,top50,50
Reactome_2022,30,Peptide Chain Elongation R-HSA-156902,0.0013002540770145727,15.278390156370161,101.52789088565108,RPL27A;RPLP0;RPLP2,3,0.014257189451931837,top50,50
Reactome_2022,31,Viral mRNA Translation R-HSA-192823,0.0014821871128384563,14.573000733675716,94.93197333904209,RPL27A;RPLP0;RPLP2,3,0.014257189451931837,top50,50
Reactome_2022,32,Selenocysteine Synthesis R-HSA-2408557,0.0014821871128384563,14.573000733675716,94.93197333904209,RPL27A;RPLP0;RPLP2,3,0.014257189451931837,top50,50
Reactome_2022,33,Eukaryotic Translation Elongation R-HSA-156842,0.0014821871128384563,14.573000733675716,94.93197333904209,RPL27A;RPLP0;RPLP2,3,0.014257189451931837,top50,50
