gene,mean_importance,std_importance,variance_in_data,rank
PRSS23,0.010284553451426892,0.0027413617506455005,14334765.179382369,1
NAP1L1,0.010197727625222272,0.00900516381251425,20985274.504566997,2
KLK5,0.009799069204657493,0.006419244438499581,51072156.340279885,3
GNB2L1,0.006539286138688663,0.00756689153237032,416035740.04054374,4
PPT1,0.006397863138669347,0.00786351874892296,21722710.569126055,5
ANPEP,0.00624722521201746,0.004786964460921714,16542342.98231921,6
HNRNPC,0.0061865459138647555,0.00424655166726283,14846170.294782845,7
EMP2,0.005680688501006813,0.005205066825614002,33063797.554845598,8
TGFBI,0.005607484277285254,0.0063434990505666705,13195019.599627726,9
APOA1,0.005458295039352908,0.006947260192984201,18415921.822647057,10
ARF1,0.005430224521563072,0.006232372081939163,16585525.183135867,11
PTGDS,0.00541528474809871,0.0022133448023745617,71449608.6658708,12
ALDOA,0.005210223607656276,0.005511072331631208,211945710.13002852,13
BCAM,0.005154829942792728,0.005819274062616207,1008786432.2621472,14
IFITM3,0.004941468718646151,0.0020854875101506284,210911071.16115457,15
PABPC1,0.004929107724966168,0.002218206011518437,451833856.68229353,16
IGF2,0.004901798361682685,0.00031745084351008133,24533398096.4799,17
SCNN1A,0.004899535095098221,0.0035997300684515753,20681437.05286823,18
COL12A1,0.0047476041225184736,0.004030671560794947,13146809.257254882,19
PAX8,0.004649463628606265,0.0008498195151098073,15904086.086431863,20
MAGED2,0.004621647002277364,0.004170743856686969,14582843.20908603,21
EIF4B,0.004593331842821557,0.00206565070802898,18970126.35319243,22
AMY1A,0.00454326970808325,0.002657711641880857,120781470.8742955,23
ATP6V1B1,0.004523362805459781,0.005184976575191047,17875146.627683558,24
MSLN,0.004520128394341667,0.0008510770031170946,112033964.22079402,25
NDUFB11,0.004509583756948278,0.004589082460832387,14961831.933876496,26
PTPRF,0.004493734299327952,0.004199708825727615,56506168.81790351,27
TIMP2,0.004486164993734426,0.0043139666040356295,24380608.238018773,28
APP,0.004364886845798783,0.0014638480994668803,64784204.66930922,29
FLNA,0.00434788608720009,0.002426105948021235,134799602.03079963,30
GSN,0.004213425390462708,0.004276375290883743,37388856.69714833,31
TMEM123,0.004197544770719523,0.0004108382491159369,26545867.256203465,32
PRDX2,0.004184318250712924,0.0025426766493965147,16944750.31324764,33
RPLP2,0.004123819636448672,0.001961308060094726,197498429.86586666,34
TXNIP,0.004026917655286223,0.0010648578493884853,30462726.667445403,35
