gene,importance,rank
NAP1L1,0.02265609823508357,1
GNB2L1,0.01720361735680148,2
APOA1,0.015281436508690356,3
TGFBI,0.014577288245064823,4
ARF1,0.01421942029753417,5
BCAM,0.013343028674931702,6
ALDOA,0.013003763767758645,7
ANPEP,0.012030276160867256,8
TIMP2,0.010571707579503507,9
MAGED2,0.010508564402830977,10
LMNA,0.009496827640375547,11
RPS20,0.009073607736827343,12
A2M,0.0086452018024571,13
EPCAM,0.008576641070325582,14
NCRNA00188,0.008558920394224257,15
RPLP0,0.008543196185456611,16
KLK5,0.008343039533724826,17
AMY1A,0.008279241680765303,18
PABPC1,0.00787001779482403,19
HNRNPC,0.007591321327044717,20
KRT7,0.0074681278111102655,21
PRSS23,0.007452259911746126,22
SAT1,0.007436503855915788,23
LAMA5,0.007129657670822161,24
COL4A2,0.00684000988087693,25
PLD3,0.006818342342404609,26
MMP14,0.00679493382689459,27
EIF4B,0.006591278107103292,28
SERF2,0.00642194240729079,29
ITM2B,0.0062087940157549105,30
PRDX2,0.006134608115767246,31
LYZ,0.006116196545641592,32
GRN,0.005996216610960455,33
COL1A1,0.00588807117026875,34
PCBP2,0.005864910402979284,35
MUC16,0.005722459540473305,36
ACTN4,0.0057105278832082365,37
MSLN,0.0057048434829861105,38
MIF,0.005585968883932855,39
NOTCH2,0.005584484184563032,40
EEF1A1P9,0.0053465033913197854,41
VIM,0.005258402975003113,42
H19,0.0052240233126089695,43
PAX8,0.00516489670724471,44
APOE,0.005147265128653734,45
RPL8,0.005060811481282645,46
IGF2,0.004997650435224794,47
RBM3,0.004788389933976464,48
ATP1A1,0.004763948822226898,49
HLA-DPA1,0.0047357064013469,50
MYL6,0.004694787834952458,51
CAPNS1,0.0046805813896802426,52
HSPA1A,0.0046479007725416105,53
THBS2,0.004606123999114475,54
THBS1,0.004567977971500068,55
RPS27A,0.0044367678777384074,56
LRIG1,0.0044364721028450835,57
GLUL,0.004397478437178985,58
RPL24,0.004196501365883703,59
UQCRFS1,0.00419625039174056,60
NDRG1,0.004180197238916881,61
ODC1,0.004119360993183926,62
HPN,0.004115464442686777,63
HSPA5,0.0041020361214904886,64
RPS17,0.00409616806493804,65
COL1A2,0.004060226034624529,66
GPX1,0.004022744177715712,67
CLDN4,0.004004240333498487,68
NCL,0.0039481065513245935,69
SRP14,0.003930918490278828,70
H3F3B,0.00392103637976765,71
FSTL1,0.003860662174932771,72
TMEM123,0.0038572316637898673,73
MGP,0.003848664541824232,74
FAU,0.0038155867555795375,75
THSD4,0.0037733337171967913,76
EIF3L,0.0037463901716308715,77
GRB7,0.0036887715517883593,78
GNAS,0.003673013054887158,79
RPS19,0.003671454840506173,80
SNRPD2,0.0036398431586782097,81
RPS8,0.00360912097474542,82
PPP1CB,0.0036071024495207306,83
KIAA1522,0.00357580945495781,84
RPS4X,0.0034867822796299207,85
RPL36,0.0034207758298407265,86
CSDE1,0.0033529076443794313,87
ACTA2,0.003312090070930083,88
TXNIP,0.0032614201674109867,89
RPL7,0.0032136944651788377,90
JUP,0.003206177213025361,91
APP,0.003202929004642107,92
RPL23A,0.003189019621202166,93
RPS7,0.003186021305096586,94
ZFP36L1,0.0031736006473749847,95
EEF1D,0.0031729031516581495,96
SLC25A5,0.0031718993195037288,97
IGFBP7,0.003084447164008873,98
ACTG1,0.0030509961295674816,99
ST14,0.002991601134275412,100
KLK7,0.0029799824666472447,101
CALR,0.0029489984915230002,102
TUBB2C,0.0028762418388761685,103
EIF3CL,0.0028519498703046407,104
XIST,0.0028176428889317624,105
NDUFB9,0.0028144930743232727,106
MMP2,0.0028130603445001576,107
HDLBP,0.002811080939720453,108
RPL41,0.0027560106606963623,109
CMTM6,0.002749924877262361,110
PRDX6,0.0027151301127254553,111
RPL11,0.0027077921961294526,112
SCNN1A,0.0026970593501993746,113
RPS29,0.002680589056497948,114
HSPG2,0.002679530730819108,115
TAGLN2,0.00266514244574417,116
RPLP2,0.0026622596478452676,117
KLK6,0.0026606419742692643,118
BGN,0.0026551866570934213,119
RPL34,0.002649594204918551,120
MT1G,0.002636367384863519,121
C1R,0.002635812377810899,122
NUMA1,0.0026138840521173663,123
HSP90AB1,0.0026100380015116214,124
PTMA,0.002566505488448257,125
BST2,0.0025410883892208616,126
PLEC,0.002519290113493451,127
PQBP1,0.002494758143300782,128
LDHB,0.002492175416588665,129
ATP5G2,0.002449316955918202,130
SRRM2,0.002437641800983457,131
GANAB,0.002422447479820372,132
UBB,0.0023690674420102334,133
ENO1,0.0023584921773147174,134
PTGDS,0.0023331876902420333,135
PAM,0.0023232801789193295,136
UBA1,0.002305373457478769,137
TIMP1,0.0022858791970889083,138
RPL13,0.0022452697126387026,139
DNAJB1,0.0022214029916384345,140
HSPD1,0.002214761853699386,141
RPS11,0.0022140695137417184,142
DCN,0.0022087879857607923,143
SLC40A1,0.0022078928463156802,144
COL6A3,0.002199193121392188,145
PTPRF,0.0021988190997087936,146
ADAM6,0.002170012870089257,147
ANXA1,0.002124451694940775,148
EMP2,0.002122010045943748,149
CANX,0.002119174534078267,150
RPL27,0.0021183137246079554,151
CAP1,0.00211616687029226,152
UBA2,0.0021135755114007437,153
CPA2,0.0020966706744153735,154
MYL12B,0.0020795807570869805,155
TSC22D1,0.0020760596100321584,156
MUC1,0.0020564522212644046,157
RPL31,0.0020406198810978458,158
IFITM3,0.0020330063646023786,159
CP,0.0020319201933250764,160
FOXP4,0.0020261227910987325,161
COL6A2,0.002026079762926168,162
KRT8,0.001986689662275848,163
MARCKSL1,0.0019817632860479354,164
ITGB4,0.001963928861889617,165
RPL38,0.001925808256889746,166
THY1,0.0018883228419973059,167
LAMC1,0.0018850456996155076,168
RPL3,0.0018760057773389489,169
RPL37,0.0018695892810768038,170
PAK1,0.0018660146764376104,171
COL12A1,0.001837984922035056,172
PSAP,0.001824828298130507,173
LSR,0.001824121398931894,174
CRABP2,0.0018226831444930157,175
TRIM28,0.0018178390462900778,176
PKN1,0.0018165099995613551,177
BMS1P20,0.0018141051163512694,178
CTSD,0.001812637179774544,179
RPL22,0.0018037340815241752,180
PODXL,0.0017870397369528907,181
CRIP2,0.0017633486274096785,182
RPN1,0.0017514729221304525,183
ISG15,0.0017514570495810347,184
PDIA3,0.0017391619385247576,185
STRAP,0.0017372195385535044,186
FBL,0.0017370648117009803,187
IFI6,0.001728691414314468,188
DHCR24,0.0017195861656552113,189
PLXNB2,0.0017156857871887172,190
PTGS1,0.0017150781751295217,191
BTF3,0.001714938219435973,192
DPYSL3,0.0017073170731707378,193
EIF4G2,0.0016988982887535607,194
SOD2,0.0016907472027186381,195
EEF1G,0.0016886193707692444,196
LGALS3BP,0.0016846022797440514,197
PEA15,0.0016688966957189538,198
C4A,0.0016688175445549497,199
SERPINA5,0.0016548424592290267,200
PHB2,0.0016329172095377689,201
AGRN,0.00160943911119268,202
KLK10,0.001582727009718918,203
ITM2C,0.0015749392128706031,204
IFIT1,0.0015687604148937027,205
CTNNB1,0.0015372540712173094,206
NONO,0.0015360283610741463,207
RPL17,0.001532333966436387,208
RPL26,0.0015290261718012986,209
SST,0.0015268610256028508,210
EIF1,0.0015226275237576533,211
FLNA,0.0015147718036364413,212
RPL18,0.0014879274547108848,213
RPL32,0.0014863131233066938,214
GAS6,0.0014751229716489583,215
MX1,0.0014670212719706012,216
